filename,stalled,url,project_id,num_frames,crowd_score,tier1,micro,nano,fold
100109.mp4,1,s3://drivendata-competition-clog-loss/train/100109.mp4,L,67,0.0,True,True,True,2
100289.mp4,1,s3://drivendata-competition-clog-loss/train/100289.mp4,G,59,0.765824,True,True,True,4
100588.mp4,0,s3://drivendata-competition-clog-loss/train/100588.mp4,A,53,0.0,True,True,True,2
100750.mp4,0,s3://drivendata-competition-clog-loss/train/100750.mp4,L,63,0.0,True,True,True,1
102393.mp4,0,s3://drivendata-competition-clog-loss/train/102393.mp4,K,66,0.0,True,True,True,3
102750.mp4,0,s3://drivendata-competition-clog-loss/train/102750.mp4,G,123,0.0,True,True,True,1
102889.mp4,0,s3://drivendata-competition-clog-loss/train/102889.mp4,L,85,0.0,True,True,True,2
102952.mp4,1,s3://drivendata-competition-clog-loss/train/102952.mp4,G,54,1.0,True,True,True,2
103390.mp4,1,s3://drivendata-competition-clog-loss/train/103390.mp4,C,63,0.814702,True,True,True,4
104233.mp4,0,s3://drivendata-competition-clog-loss/train/104233.mp4,C,59,0.0,True,True,True,2
104360.mp4,1,s3://drivendata-competition-clog-loss/train/104360.mp4,I,94,0.914924,True,True,True,1
104713.mp4,0,s3://drivendata-competition-clog-loss/train/104713.mp4,K,86,0.0,True,True,True,3
105028.mp4,1,s3://drivendata-competition-clog-loss/train/105028.mp4,H,60,1.0,True,True,True,1
105159.mp4,1,s3://drivendata-competition-clog-loss/train/105159.mp4,G,56,1.0,True,True,True,4
105452.mp4,0,s3://drivendata-competition-clog-loss/train/105452.mp4,A,165,0.0,True,True,True,4
105668.mp4,1,s3://drivendata-competition-clog-loss/train/105668.mp4,C,79,1.0,True,True,True,3
105699.mp4,0,s3://drivendata-competition-clog-loss/train/105699.mp4,F,60,0.0,True,True,True,4
106076.mp4,1,s3://drivendata-competition-clog-loss/train/106076.mp4,K,35,1.0,True,True,True,3
106540.mp4,1,s3://drivendata-competition-clog-loss/train/106540.mp4,G,68,1.0,True,True,True,3
106570.mp4,0,s3://drivendata-competition-clog-loss/train/106570.mp4,L,77,0.0,True,True,True,3
107530.mp4,0,s3://drivendata-competition-clog-loss/train/107530.mp4,C,78,0.0,True,True,True,4
107799.mp4,1,s3://drivendata-competition-clog-loss/train/107799.mp4,L,76,0.0,True,True,True,4
108285.mp4,0,s3://drivendata-competition-clog-loss/train/108285.mp4,F,67,0.0,True,True,True,3
108812.mp4,0,s3://drivendata-competition-clog-loss/train/108812.mp4,L,54,0.0,True,True,True,0
108856.mp4,0,s3://drivendata-competition-clog-loss/train/108856.mp4,J,53,0.0,True,True,True,3
109827.mp4,1,s3://drivendata-competition-clog-loss/train/109827.mp4,A,53,0.756933,True,True,True,2
110210.mp4,1,s3://drivendata-competition-clog-loss/train/110210.mp4,L,105,0.0,True,True,True,4
110488.mp4,1,s3://drivendata-competition-clog-loss/train/110488.mp4,G,48,0.9500139999999999,True,True,True,2
110787.mp4,1,s3://drivendata-competition-clog-loss/train/110787.mp4,G,80,1.0,True,True,True,2
111150.mp4,0,s3://drivendata-competition-clog-loss/train/111150.mp4,J,79,0.0,True,True,True,0
112324.mp4,0,s3://drivendata-competition-clog-loss/train/112324.mp4,D,57,0.0,True,True,True,0
112532.mp4,1,s3://drivendata-competition-clog-loss/train/112532.mp4,A,82,1.0,True,True,True,0
112558.mp4,0,s3://drivendata-competition-clog-loss/train/112558.mp4,L,54,0.0,True,True,True,0
112804.mp4,0,s3://drivendata-competition-clog-loss/train/112804.mp4,L,60,0.0,True,True,True,2
113202.mp4,0,s3://drivendata-competition-clog-loss/train/113202.mp4,G,50,0.0,True,True,True,4
113351.mp4,0,s3://drivendata-competition-clog-loss/train/113351.mp4,A,47,0.0,True,True,True,3
113850.mp4,1,s3://drivendata-competition-clog-loss/train/113850.mp4,L,84,0.0,True,True,True,3
114621.mp4,1,s3://drivendata-competition-clog-loss/train/114621.mp4,K,69,1.0,True,True,True,4
115374.mp4,1,s3://drivendata-competition-clog-loss/train/115374.mp4,M,62,1.0,True,True,True,3
115946.mp4,0,s3://drivendata-competition-clog-loss/train/115946.mp4,F,54,0.0,True,True,True,1
115974.mp4,0,s3://drivendata-competition-clog-loss/train/115974.mp4,F,68,0.0,True,True,True,4
116889.mp4,0,s3://drivendata-competition-clog-loss/train/116889.mp4,M,73,0.0,True,True,True,3
117054.mp4,0,s3://drivendata-competition-clog-loss/train/117054.mp4,G,58,0.0,True,True,True,3
117221.mp4,1,s3://drivendata-competition-clog-loss/train/117221.mp4,A,64,1.0,True,True,True,0
117903.mp4,0,s3://drivendata-competition-clog-loss/train/117903.mp4,G,41,0.0,True,True,True,0
